"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2023","765","740","775","740","4.00K","2.68%"
"10/31/2023","750","760","770","750","4.60K","-1.96%"
"11/01/2023","740","750","750","740","16.20K","-1.33%"
"11/02/2023","760","735","760","730","4.40K","2.70%"
"11/03/2023","775","730","780","730","5.20K","1.97%"
"11/06/2023","745","775","775","740","14.80K","-3.87%"
"11/07/2023","745","770","770","740","254.80K","0.00%"
"11/08/2023","750","745","750","745","0.50K","0.67%"
"11/09/2023","745","740","765","740","2.90K","-0.67%"
"11/10/2023","755","740","755","740","14.00K","1.34%"
"11/13/2023","740","755","755","740","2.00K","-1.99%"
"11/14/2023","750","745","760","745","4.30K","1.35%"
"11/15/2023","745","740","765","740","6.00K","-0.67%"
"11/16/2023","755","740","765","740","2.60K","1.34%"
"11/17/2023","745","765","770","745","7.30K","-1.32%"
"11/20/2023","740","745","745","740","14.30K","-0.67%"
"11/21/2023","755","740","755","740","3.60K","2.03%"
"11/22/2023","745","740","745","740","4.70K","-1.32%"
"11/23/2023","750","765","765","745","2.80K","0.67%"
"11/24/2023","760","740","760","730","7.00K","1.33%"
"11/27/2023","755","770","770","755","3.10K","-0.66%"
"11/28/2023","760","765","765","750","1.80K","0.66%"
"11/29/2023","760","760","765","730","5.80K","0.00%"
"11/30/2023","745","755","760","740","12.50K","-1.97%"
"12/01/2023","745","740","745","735","191.40K","0.00%"
"12/04/2023","740","745","745","740","8.90K","-0.67%"
"12/05/2023","740","735","740","735","1.20K","0.00%"
"12/06/2023","735","745","745","730","7.00K","-0.68%"
"12/07/2023","745","730","745","730","123.90K","1.36%"
"12/08/2023","745","745","755","745","6.00K","0.00%"
"12/11/2023","740","750","750","740","34.00K","-0.67%"
"12/12/2023","745","730","745","725","19.50K","0.68%"
"12/13/2023","750","760","760","730","11.90K","0.67%"
"12/14/2023","750","725","755","725","4.80K","0.00%"
"12/15/2023","740","750","750","730","0.40K","-1.33%"
"12/18/2023","730","730","730","730","0.10K","-1.35%"
"12/19/2023","765","765","765","765","0.10K","4.79%"
"12/20/2023","765","745","765","740","1.90K","0.00%"
"12/21/2023","740","765","765","740","0.80K","-3.27%"
"12/22/2023","760","740","780","740","4.70K","2.70%"
