Date,Price,Open,High,Low,Vol.,Change %
10/30/2023,"1,915","1,950","1,950","1,915",59.30K,-1.79%
10/31/2023,"1,970","1,915","1,970","1,880",50.60K,2.87%
11/1/2023,"1,800","1,970","1,970","1,800",3.00K,-8.63%
11/2/2023,"1,860","1,820","1,860","1,820",0.20K,3.33%
11/3/2023,"1,860","1,905","1,915","1,855",11.00K,0.00%
11/6/2023,"1,950","1,860","1,950","1,860",1.50K,4.84%
11/7/2023,"1,990","1,950","1,990","1,950",7.20K,2.05%
11/13/2023,"1,935","1,980","1,985","1,930",2.10K,-2.76%
11/14/2023,"1,985","1,985","1,985","1,985",0.10K,2.58%
11/15/2023,"1,985","1,985","1,985","1,985",0.50K,0.00%
11/16/2023,"1,985","1,985","1,985","1,985",0.50K,0.00%
11/20/2023,"2,090","1,865","2,100","1,800",76.10K,5.29%
11/21/2023,"1,970","1,995","2,060","1,810",158.30K,-5.74%
11/22/2023,"1,900","1,970","2,050","1,875",62.20K,-3.55%
11/23/2023,"1,900","2,050","2,050","1,900",6.30K,0.00%
11/24/2023,"1,955","1,900","1,955","1,900",4.50K,2.89%
11/27/2023,"1,900","1,955","1,955","1,900",20.30K,-2.81%
11/28/2023,"1,910","1,950","1,950","1,900",113.20K,0.53%
11/29/2023,"1,910","1,950","1,955","1,910",18.20K,0.00%
11/30/2023,"1,915","1,950","1,950","1,910",0.30K,0.26%
12/1/2023,"1,945","1,945","1,950","1,945",1.50K,1.57%
12/4/2023,"1,965","1,910","1,970","1,905",3.10K,1.03%
12/5/2023,"1,965","1,965","1,965","1,965",0.30K,0.00%
12/6/2023,"1,970","1,945","1,970","1,945",426.40K,0.25%
12/7/2023,"1,905","1,905","1,905","1,905",0.90K,-3.30%
12/11/2023,"1,970","1,915","1,970","1,915",1.40K,3.41%
12/12/2023,"2,020","1,985","2,020","1,985",0.30K,2.54%
12/13/2023,"1,930","1,930","1,930","1,930",0.10K,-4.46%
12/14/2023,"1,980","1,990","2,000","1,980",3.50K,2.59%
12/15/2023,"1,990","1,980","1,990","1,980",1.90K,0.51%
12/18/2023,"1,990","1,990","1,990","1,940",3.10K,0.00%
12/19/2023,"1,990","1,990","1,990","1,990",1.20K,0.00%
12/20/2023,"1,990","1,990","1,990","1,990",0.50K,0.00%
