"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2024","218","218","218","216","71.20K","0.00%"
"10/25/2024","218","220","220","216","114.70K","0.00%"
"10/24/2024","218","218","220","216","20.00K","-0.91%"
"10/23/2024","220","226","226","214","352.20K","0.92%"
"10/22/2024","218","222","232","218","222.10K","0.93%"
"10/21/2024","216","220","222","214","160.90K","-0.92%"
"10/18/2024","218","218","220","216","196.40K","-0.91%"
"10/17/2024","220","220","220","218","44.60K","0.92%"
"10/16/2024","218","218","220","216","7.20K","0.00%"
"10/15/2024","218","220","220","216","50.20K","-0.91%"
"10/14/2024","220","220","222","218","18.40K","0.92%"
"10/11/2024","218","218","220","216","161.50K","0.00%"
"10/10/2024","218","220","220","218","70.50K","0.00%"
"10/09/2024","218","220","220","218","152.20K","-0.91%"
"10/08/2024","220","216","228","216","105.00K","1.85%"
"10/07/2024","216","218","220","216","61.80K","-0.92%"
"10/04/2024","218","218","220","218","52.50K","0.00%"
"10/03/2024","218","220","220","218","65.90K","0.93%"
"10/02/2024","216","222","222","216","53.60K","-1.82%"
"10/01/2024","220","220","226","218","36.10K","0.92%"
"09/30/2024","218","220","222","216","246.20K","0.00%"
"09/27/2024","218","222","222","216","115.40K","-1.80%"
"09/26/2024","222","218","254","218","578.90K","1.83%"
"09/25/2024","218","218","218","216","217.10K","0.00%"
"09/24/2024","218","220","222","218","34.70K","0.00%"
"09/23/2024","218","222","222","218","366.80K","-1.80%"
"09/20/2024","222","222","222","218","37.10K","0.91%"
"09/19/2024","220","220","222","218","222.00K","0.00%"
"09/18/2024","220","220","222","218","136.50K","0.00%"
"09/17/2024","220","220","220","218","30.40K","0.92%"
"09/13/2024","218","220","220","216","47.70K","-0.91%"
"09/12/2024","220","220","222","216","273.30K","0.92%"
"09/11/2024","218","220","224","218","115.70K","0.00%"
"09/10/2024","218","222","222","218","332.10K","-1.80%"
"09/09/2024","222","222","222","220","24.10K","0.91%"
"09/06/2024","220","224","224","218","914.00K","-1.79%"
"09/05/2024","224","226","230","222","55.10K","0.00%"
"09/04/2024","224","226","228","220","399.50K","-0.88%"
"09/03/2024","226","226","234","226","265.40K","-0.88%"
"09/02/2024","228","226","230","226","105.90K","0.00%"
"08/30/2024","228","230","230","228","29.80K","0.00%"
"08/29/2024","228","232","234","228","70.60K","-0.87%"
"08/28/2024","230","230","230","228","20.80K","0.88%"
"08/27/2024","228","228","234","228","159.80K","-0.87%"
"08/26/2024","230","230","234","228","64.20K","0.00%"
"08/23/2024","230","230","230","228","98.10K","0.88%"
"08/22/2024","228","230","232","228","67.70K","-0.87%"
"08/21/2024","230","230","232","228","201.60K","0.00%"
"08/20/2024","230","228","230","228","77.10K","0.88%"
"08/19/2024","228","238","244","224","184.80K","1.79%"
"08/16/2024","224","228","228","222","44.50K","0.00%"
"08/15/2024","224","230","230","220","176.00K","-2.61%"
"08/14/2024","230","230","232","226","215.90K","0.00%"
"08/13/2024","230","226","232","226","19.60K","2.68%"
"08/12/2024","224","228","230","224","31.80K","-0.88%"
"08/09/2024","226","232","248","226","103.80K","-0.88%"
