"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2024","2,020","2,100","2,110","2,020","23.21M","-3.81%"
"10/25/2024","2,100","2,130","2,160","2,100","30.24M","-1.41%"
"10/24/2024","2,130","2,170","2,200","2,100","81.41M","-8.58%"
"10/23/2024","2,330","2,320","2,340","2,290","12.44M","0.43%"
"10/22/2024","2,320","2,330","2,360","2,310","21.46M","-0.43%"
"10/21/2024","2,330","2,340","2,370","2,300","20.89M","0.00%"
"10/18/2024","2,330","2,370","2,370","2,330","12.02M","-1.69%"
"10/17/2024","2,370","2,400","2,410","2,370","21.52M","-2.87%"
"10/16/2024","2,440","2,370","2,440","2,320","43.98M","3.83%"
"10/15/2024","2,350","2,320","2,380","2,310","40.83M","1.29%"
"10/14/2024","2,320","2,270","2,320","2,250","15.73M","2.20%"
"10/11/2024","2,270","2,280","2,300","2,240","11.22M","-0.44%"
"10/10/2024","2,280","2,310","2,320","2,260","11.66M","0.00%"
"10/09/2024","2,280","2,310","2,350","2,280","24.87M","-1.30%"
"10/08/2024","2,310","2,270","2,330","2,240","31.08M","1.76%"
"10/07/2024","2,270","2,180","2,270","2,180","27.47M","4.61%"
"10/04/2024","2,170","2,190","2,200","2,170","8.64M","-0.91%"
"10/03/2024","2,190","2,170","2,200","2,140","17.31M","0.92%"
"10/02/2024","2,170","2,200","2,210","2,160","28.43M","-1.81%"
"10/01/2024","2,210","2,230","2,240","2,190","19.63M","0.00%"
"09/30/2024","2,210","2,270","2,290","2,210","29.42M","-2.64%"
"09/27/2024","2,270","2,310","2,340","2,270","38.12M","-1.30%"
"09/26/2024","2,300","2,300","2,310","2,260","24.68M","0.00%"
"09/25/2024","2,300","2,260","2,300","2,240","36.25M","1.77%"
"09/24/2024","2,260","2,220","2,270","2,210","25.95M","2.26%"
"09/23/2024","2,210","2,190","2,210","2,170","17.52M","1.84%"
"09/20/2024","2,170","2,200","2,210","2,170","41.02M","-1.36%"
"09/19/2024","2,200","2,210","2,300","2,200","71.19M","-0.45%"
"09/18/2024","2,210","2,190","2,210","2,180","14.50M","1.38%"
"09/17/2024","2,180","2,200","2,210","2,170","16.82M","-0.91%"
"09/13/2024","2,200","2,220","2,230","2,180","22.25M","-0.90%"
"09/12/2024","2,220","2,200","2,240","2,190","19.39M","1.37%"
"09/11/2024","2,190","2,210","2,270","2,190","19.45M","-0.90%"
"09/10/2024","2,210","2,190","2,240","2,190","15.57M","0.91%"
"09/09/2024","2,190","2,220","2,230","2,170","28.64M","-1.35%"
"09/06/2024","2,220","2,220","2,250","2,200","22.14M","0.00%"
"09/05/2024","2,220","2,240","2,250","2,220","19.92M","-0.89%"
"09/04/2024","2,240","2,250","2,260","2,230","17.65M","-0.44%"
"09/03/2024","2,250","2,290","2,300","2,250","20.12M","-1.75%"
"09/02/2024","2,290","2,280","2,330","2,260","33.19M","0.88%"
"08/30/2024","2,270","2,240","2,280","2,240","35.05M","1.34%"
"08/29/2024","2,240","2,250","2,280","2,240","16.90M","-0.44%"
"08/28/2024","2,250","2,290","2,290","2,240","33.92M","-1.75%"
"08/27/2024","2,290","2,350","2,360","2,250","53.07M","-2.55%"
"08/26/2024","2,350","2,350","2,380","2,330","20.40M","0.00%"
"08/23/2024","2,350","2,350","2,380","2,350","17.70M","0.00%"
"08/22/2024","2,350","2,360","2,390","2,330","23.16M","-0.42%"
"08/21/2024","2,360","2,380","2,430","2,360","59.00M","-0.42%"
"08/20/2024","2,370","2,360","2,410","2,340","47.60M","0.42%"
"08/19/2024","2,360","2,390","2,410","2,340","27.23M","-1.26%"
"08/16/2024","2,390","2,390","2,410","2,380","15.34M","0.42%"
"08/15/2024","2,380","2,410","2,430","2,380","14.68M","-2.06%"
"08/14/2024","2,430","2,450","2,460","2,410","19.70M","-0.82%"
"08/13/2024","2,450","2,470","2,470","2,430","9.96M","-0.41%"
"08/12/2024","2,460","2,460","2,480","2,440","6.17M","0.00%"
"08/09/2024","2,460","2,470","2,490","2,440","4.07M","0.00%"
"08/08/2024","2,460","2,470","2,500","2,460","6.24M","-0.81%"
"08/07/2024","2,480","2,460","2,480","2,440","7.54M","0.81%"
"08/06/2024","2,460","2,430","2,490","2,410","13.82M","2.07%"
"08/05/2024","2,410","2,430","2,450","2,370","12.80M","-0.82%"
"08/02/2024","2,430","2,500","2,540","2,430","12.72M","-2.80%"
"08/01/2024","2,500","2,440","2,510","2,440","12.30M","2.46%"
"07/31/2024","2,440","2,440","2,450","2,410","12.82M","0.41%"
"07/30/2024","2,430","2,480","2,480","2,410","13.42M","-1.22%"
"07/29/2024","2,460","2,490","2,520","2,450","15.27M","-1.20%"
"07/26/2024","2,490","2,500","2,520","2,480","10.43M","0.00%"
"07/25/2024","2,490","2,600","2,630","2,460","49.71M","-8.46%"
"07/24/2024","2,720","2,730","2,740","2,700","8.82M","-0.37%"
"07/23/2024","2,730","2,740","2,770","2,710","9.98M","-0.36%"
"07/22/2024","2,740","2,800","2,830","2,730","11.84M","-2.14%"
"07/19/2024","2,800","2,800","2,830","2,770","13.04M","0.00%"
"07/18/2024","2,800","2,860","2,880","2,800","15.39M","-2.10%"
"07/17/2024","2,860","2,830","2,880","2,820","6.44M","1.78%"
"07/16/2024","2,810","2,930","2,930","2,810","16.54M","-4.10%"
"07/15/2024","2,930","2,940","2,950","2,890","11.02M","0.34%"
"07/12/2024","2,920","2,910","2,950","2,900","8.18M","0.69%"
"07/11/2024","2,900","2,970","2,990","2,900","15.62M","-2.03%"
"07/10/2024","2,960","3,000","3,010","2,950","7.29M","-1.33%"
"07/09/2024","3,000","3,070","3,080","2,970","9.92M","-1.64%"
"07/08/2024","3,050","2,920","3,050","2,920","13.33M","4.81%"
"07/05/2024","2,910","2,920","2,940","2,910","3.81M","-0.34%"
"07/04/2024","2,920","2,930","2,950","2,900","9.16M","-0.68%"
"07/03/2024","2,940","2,970","2,970","2,920","13.48M","-1.01%"
"07/02/2024","2,970","2,960","2,980","2,940","18.08M","0.34%"
"07/01/2024","2,960","2,990","3,000","2,950","19.11M","-1.99%"
"06/28/2024","3,020","3,070","3,100","3,020","22.98M","-1.95%"
"06/27/2024","3,080","3,030","3,100","3,010","11.45M","2.33%"
"06/26/2024","3,010","3,010","3,050","2,990","10.00M","0.00%"
"06/25/2024","3,010","3,010","3,030","3,000","6.41M","0.00%"
"06/24/2024","3,010","3,010","3,060","3,010","11.46M","0.67%"
"06/21/2024","2,990","3,040","3,100","2,990","32.00M","-1.64%"
"06/20/2024","3,040","3,090","3,100","2,950","15.90M","-0.98%"
"06/19/2024","3,070","3,200","3,200","3,060","26.71M","-4.06%"
"06/14/2024","3,200","3,090","3,210","3,070","31.69M","4.58%"
"06/13/2024","3,060","3,060","3,120","3,060","11.47M","0.00%"
"06/12/2024","3,060","3,060","3,120","3,020","9.45M","0.00%"
"06/11/2024","3,060","3,090","3,120","3,050","9.31M","-0.33%"
